ts,open,high,low,close,vol,turn
2025-05-30 11:30:00+00:00,14.502,14.548,14.464,14.464,67112.1,973974.0609
2025-05-30 11:45:00+00:00,14.464,14.56,14.461,14.529,101145.7,1469712.1236
2025-05-30 12:00:00+00:00,14.529,14.564,14.372,14.376,223011.4,3223431.7704
2025-05-30 12:15:00+00:00,14.376,14.453,14.339,14.42,121490.6,1748880.0351
2025-05-30 12:30:00+00:00,14.42,14.56,14.408,14.545,88594.4,1284878.6796
2025-05-30 12:45:00+00:00,14.545,14.593,14.508,14.508,61077.4,888619.5177
2025-05-30 13:00:00+00:00,14.508,14.546,14.446,14.46,102138.8,1479306.7627
2025-05-30 13:15:00+00:00,14.46,14.484,14.393,14.426,101857.2,1469999.1895
2025-05-30 13:30:00+00:00,14.426,14.478,14.386,14.439,95003.6,1371036.279
2025-05-30 13:45:00+00:00,14.439,14.466,14.328,14.35,142091.0,2045066.2723
2025-05-30 14:00:00+00:00,14.35,14.404,14.317,14.36,185043.4,2658259.4286
2025-05-30 14:15:00+00:00,14.36,14.391,14.25,14.292,143278.3,2049615.6918
2025-05-30 14:30:00+00:00,14.292,14.393,14.282,14.323,92844.6,1331382.3349
2025-05-30 14:45:00+00:00,14.323,14.344,14.245,14.305,66834.0,955405.7506
2025-05-30 15:00:00+00:00,14.305,14.367,14.297,14.349,78006.6,1118524.3555
2025-05-30 15:15:00+00:00,14.349,14.403,14.263,14.386,110573.3,1585349.2863
2025-05-30 15:30:00+00:00,14.386,14.397,14.268,14.3,84375.8,1208311.615
2025-05-30 15:45:00+00:00,14.3,14.3,14.224,14.235,216478.7,3090465.8643
2025-05-30 16:00:00+00:00,14.235,14.309,14.19,14.257,116927.9,1667076.282
2025-05-30 16:15:00+00:00,14.257,14.26,14.076,14.095,232061.3,3282297.4803
2025-05-30 16:30:00+00:00,14.095,14.104,13.799,13.987,1320367.6,18366120.6066
2025-05-30 16:45:00+00:00,13.987,13.989,13.873,13.962,169110.5,2355830.3585
2025-05-30 17:00:00+00:00,13.962,14.097,13.952,14.04,296197.8,4161387.7513
2025-05-30 17:15:00+00:00,14.04,14.116,13.992,14.025,347885.2,4891923.3066
2025-05-30 17:30:00+00:00,14.025,14.099,13.998,14.044,74283.7,1043080.0507
2025-05-30 17:45:00+00:00,14.044,14.083,14.01,14.077,66097.3,928266.5184
2025-05-30 18:00:00+00:00,14.077,14.178,14.066,14.14,288651.4,4082341.63
2025-05-30 18:15:00+00:00,14.14,14.241,14.139,14.223,165022.1,2342499.706
2025-05-30 18:30:00+00:00,14.223,14.252,14.191,14.23,77843.8,1106796.9988
2025-05-30 18:45:00+00:00,14.23,14.264,14.223,14.25,64904.8,924417.9675
2025-05-30 19:00:00+00:00,14.25,14.281,14.229,14.27,96942.3,1382321.0379
2025-05-30 19:15:00+00:00,14.27,14.323,14.266,14.312,37679.7,538953.2159
2025-05-30 19:30:00+00:00,14.312,14.343,14.276,14.302,47418.0,678427.6489
2025-05-30 19:45:00+00:00,14.302,14.315,14.251,14.259,82168.3,1173865.3111
2025-05-30 20:00:00+00:00,14.259,14.267,14.162,14.173,143813.8,2042104.2579
2025-05-30 20:15:00+00:00,14.173,14.221,14.148,14.159,53358.6,756796.9104
2025-05-30 20:30:00+00:00,14.159,14.201,14.126,14.2,59722.3,845231.3786
2025-05-30 20:45:00+00:00,14.2,14.225,14.155,14.162,69546.8,986811.728
2025-05-30 21:00:00+00:00,14.162,14.272,14.155,14.256,66006.8,939042.8117
2025-05-30 21:15:00+00:00,14.256,14.273,14.22,14.225,50329.0,717414.9737
2025-05-30 21:30:00+00:00,14.225,14.25,14.172,14.172,42043.0,597657.8826
2025-05-30 21:45:00+00:00,14.172,14.203,14.138,14.168,19753.1,279954.6255
2025-05-30 22:00:00+00:00,14.168,14.21,14.137,14.178,45349.6,642594.7197
2025-05-30 22:15:00+00:00,14.178,14.178,14.044,14.056,155997.8,2201628.7142
2025-05-30 22:30:00+00:00,14.056,14.072,13.897,13.912,144940.4,2027477.5221
2025-05-30 22:45:00+00:00,13.912,14.046,13.875,13.881,102245.7,1427050.566
2025-05-30 23:00:00+00:00,13.881,13.975,13.821,13.885,140848.2,1959091.029
2025-05-30 23:15:00+00:00,13.885,13.958,13.746,13.868,253070.1,3501568.0936
2025-05-30 23:30:00+00:00,13.868,13.94,13.825,13.863,110205.5,1529923.1402
