symbol,entry_timestamp,exit_timestamp,side,entry_price,exit_price,pnl_pct,exit_reason,sl_price,tp_price,sl_what_if_hit_tp,sl_what_if_max_profit_pct,sl_what_if_max_loss_pct,params
SOLUSDT,2025-06-26 21:35:00+00:00,2025-06-26 21:50:00+00:00,LONG,139.74000,140.43870,0.00380,TP,138.76182,140.43870,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 02:49:00+00:00,2025-06-27 07:14:00+00:00,SHORT,140.72000,141.70504,-0.00820,SL,141.70504,140.01640,False,0.00142,-0.00988,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 07:16:00+00:00,2025-06-27 07:39:00+00:00,SHORT,141.69000,140.98155,0.00380,TP,142.68183,140.98155,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 07:43:00+00:00,2025-06-27 09:25:00+00:00,LONG,140.56000,141.26280,0.00380,TP,139.57608,141.26280,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 06:24:00+00:00,2025-06-25 07:20:00+00:00,SHORT,146.00000,146.43800,-0.00420,SL,146.43800,144.54000,True,0.01938,-0.01144,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 07:24:00+00:00,2025-06-25 07:26:00+00:00,SHORT,146.60000,147.03980,-0.00420,SL,147.03980,145.13400,True,0.03363,-0.00730,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 07:26:00+00:00,2025-06-25 15:31:00+00:00,SHORT,147.36000,145.88640,0.00880,TP,147.80208,145.88640,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:32:00+00:00,2025-06-25 15:34:00+00:00,LONG,143.67000,143.23899,-0.00420,SL,143.23899,145.10670,True,0.02784,-0.01392,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:34:00+00:00,2025-06-26 02:19:00+00:00,LONG,143.25000,144.68250,0.00880,TP,142.82025,144.68250,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:19:00+00:00,2025-06-26 02:54:00+00:00,SHORT,145.70000,146.13710,-0.00420,SL,146.13710,144.24300,True,0.04269,-0.01352,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:55:00+00:00,2025-06-26 03:04:00+00:00,SHORT,146.32000,146.75896,-0.00420,SL,146.75896,144.85680,True,0.04675,-0.00923,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 03:06:00+00:00,2025-06-26 03:47:00+00:00,SHORT,147.47000,145.99530,0.00880,TP,147.91241,145.99530,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 19:16:00+00:00,2025-06-26 20:39:00+00:00,LONG,141.84000,143.25840,0.00880,TP,141.41448,143.25840,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 20:42:00+00:00,2025-06-26 21:07:00+00:00,SHORT,143.74000,142.30260,0.00880,TP,144.17122,142.30260,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:12:00+00:00,2025-06-26 21:21:00+00:00,LONG,141.50000,141.07550,-0.00420,SL,141.07550,142.91500,False,0.00134,-0.02756,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 21:35:00+00:00,2025-06-26 22:43:00+00:00,LONG,139.74000,139.32078,-0.00420,SL,139.32078,141.13740,True,0.01696,-0.01531,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 02:49:00+00:00,2025-06-27 03:50:00+00:00,SHORT,140.72000,141.14216,-0.00420,SL,141.14216,139.31280,False,0.00277,-0.00988,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 04:28:00+00:00,2025-06-27 05:12:00+00:00,SHORT,141.17000,141.59351,-0.00420,SL,141.59351,139.75830,False,0.00595,-0.00666,ema:10_rsi:14_fixed
SOLUSDT,2025-06-27 06:44:00+00:00,2025-06-27 07:13:00+00:00,SHORT,141.20000,141.62360,-0.00420,SL,141.62360,139.78800,False,0.00482,-0.00644,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 06:24:00+00:00,2025-06-25 07:25:00+00:00,SHORT,146.00000,146.73000,-0.00620,SL,146.73000,144.54000,True,0.02966,-0.01144,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 07:25:00+00:00,2025-06-25 15:31:00+00:00,SHORT,146.86000,145.39140,0.00880,TP,147.59430,145.39140,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-25 15:32:00+00:00,2025-06-26 02:19:00+00:00,LONG,143.67000,145.10670,0.00880,TP,142.95165,145.10670,,,,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 02:19:00+00:00,2025-06-26 03:00:00+00:00,SHORT,145.70000,146.42850,-0.00620,SL,146.42850,144.24300,True,0.04269,-0.01352,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 03:03:00+00:00,2025-06-26 03:04:00+00:00,SHORT,146.74000,147.47370,-0.00620,SL,147.47370,145.27260,True,0.04948,-0.00634,ema:10_rsi:14_fixed
SOLUSDT,2025-06-26 03:06:00+00:00,2025-06-26 03:47:00+00:00,SHORT,147.47000,145.99530,0.00880,TP,148.20735,145.99530,,,,ema:10_rsi:14_fixed
